Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
    Durable goods,363.5,349.7,370.6,417.7,484.5,541.2,534.6,614.9,709.9,812.5,915.2,940,1019.8,967.2,1030.3,1170.1,1198.6,1212.6,1299.5,1423.1,1481.9,1486,1443.2,1531.9,1630.4,1796.2,1945.8,2031.3,2189.8,2278.794,2356.245,2435.259,2240.8,2165.388,2175.682,2314.916,2496.171,2639.741,2770.175,2687.055,2152.092,2382.49,2599.134,2699.678,2789.555,2906.094,2901.898,2846.503,2969.316,3168.347
      Wood products,13.1,13.2,15.3,19.9,22.9,24.3,22.6,27.3,31.8,35,37.4,36.1,36.6,32.8,38.3,42.8,42.6,45.4,54.4,56,57.5,57,53.8,62,72.1,79.9,81.2,83.3,88.8,91.836,98.086,95.023,88.021,90.175,92.673,106.104,114.836,114.564,103.304,89.113,65.913,71.907,72.99,80.77,90.577,97.598,100.966,105.506,112.643,116.12
      Nonmetallic mineral products,16.2,16.1,17.8,20.5,22.7,25.1,25.8,29.2,33.7,39.7,43.6,43.9,45.6,43.1,46.5,50.9,52.6,54.9,61.3,62.6,63.3,63.5,59.6,62.2,65.1,70.7,75.7,81.8,85.9,91.637,95.687,97.716,94.409,95.254,96.547,102.391,113.21,125.808,128.466,114.428,89.972,92.358,94.063,99.639,106.303,113.587,118.998,124.463,128.765,133.125
      Primary metals,51.1,49.3,49,55.4,68.3,89.7,77.1,88.7,97.8,113.1,132,130.2,139.5,104.7,108,116.5,106.6,101.6,110.2,137.4,142.3,136.1,124.2,125.2,129.7,145.3,163.1,161.4,168.3,166.636,156.59,155.704,136.919,139.163,137.676,181.897,202.467,233.123,256.349,280.342,167.124,235.705,281.499,269.217,263.236,265.554,226.974,205.383,223.662,256.367
      Fabricated metal products,47.5,45.7,46.5,51.8,59.8,70.5,72.7,80.9,92.7,105.4,121,127.5,137.2,131.1,130,142.1,144.1,143.4,148.4,162.9,169.5,172.9,168.5,174.6,181.9,200.2,219.3,230.4,243.9,254.693,257.304,269.188,252.564,246.861,244.28,260.27,287.911,316.67,342.762,357.773,280.213,295.619,326.784,343.518,350.551,360.671,351.738,337.409,364.2,395.561
      Machinery,45,45.6,46.1,53.9,63.1,74.2,77.7,83.6,95.1,109.3,125.4,134.4,147,132.9,121.3,139.5,145.1,141.5,150.7,168.5,183.9,184.6,178.5,181.6,197.4,220.1,243.9,254.6,269.8,278.012,275.89,294.602,264.922,246.927,250.33,265.925,299.08,323.819,346.934,354.035,285.31,318.708,368.713,404.48,396.801,408.834,379.008,350.67,380.522,399.523
      Computer and electronic products,40.2,39.8,39.1,43.4,49.6,55.1,54.4,62.6,76.1,88.9,105.4,124.9,139.9,155.9,169.3,202.6,208.5,207.2,225,246,250.5,259.8,262,278.7,293.2,330.9,386.5,417,461.1,464.688,486.427,548.693,461.252,390.249,387.949,398.288,407.803,426.022,444.431,423.318,350.227,358.877,361.447,354.078,352.489,347.968,347.976,340.515,352.813,377.421
"      Electrical equipment, appliances, and components",23,23.1,23.2,26,29.9,33.6,31.1,35.5,41.3,46,51.8,53.9,56.7,54.1,57.6,65.5,66.7,68,72.3,77.9,82.2,81.1,77.3,83,89.1,97.1,102.9,106.5,111.1,114.733,116.926,125.104,110.553,100.87,97.96,102.467,108.761,117.213,126.292,126.934,102.696,108.572,117.792,122.825,123.528,126.45,125.956,124.296,128.876,136.125
"      Motor vehicles, bodies and trailers, and parts",66.1,57.5,74.1,82,94,87,87,114.2,137.3,157.8,160.8,135.2,152.9,148,185.7,224.1,231.2,234.9,245.6,265.1,276.1,255.8,246.2,283,319.7,374.5,391.4,397.4,431,447.725,503.058,482.401,458.572,477.236,488.775,508.118,523.123,525.701,513.087,425.155,342.626,434.724,498.07,513.233,565.267,628.64,676.936,700.505,711.124,754.251
      Other transportation equipment,37.1,35.3,34.2,34.7,41.1,46.1,50.6,52.9,57.1,64.5,79.7,91.5,96.3,94.4,100.6,105.5,118.5,129.7,131.7,138.9,143.8,156.7,154.5,154.6,145.5,133.6,128.4,136.8,155.6,184.008,180.391,161.904,181.438,175.91,172.253,176.988,206.174,214.127,263.714,269.359,248.079,249.037,258.651,290.545,306.023,325.091,333.228,316.352,320.101,344.542
      Furniture and related products,9.3,9.1,9.8,11.9,13.4,13.9,13,15.1,18.5,21.5,23,24.2,25.8,25.8,28.7,32.8,34.2,36.2,41.5,42.8,44.6,44.8,42.3,46.2,48.9,52.5,55,57,63.6,68.431,70.829,75.899,73.101,75.668,75.35,78.442,84.321,86.429,85.666,76.989,59.538,57.284,57.185,65.728,67.269,68.934,73.712,74.144,75.663,77.602
      Miscellaneous manufacturing,14.9,14.9,15.5,18.2,19.7,21.7,22.6,24.9,28.6,31.5,35,38.3,42.3,44.4,44.5,47.8,48.4,49.8,58.4,65,68.3,73.6,76.2,80.9,87.9,91.6,98.3,105.2,110.8,116.394,115.058,129.026,119.048,127.075,131.89,134.027,148.485,156.264,159.17,169.61,160.394,159.698,161.939,155.646,167.511,162.766,166.405,167.258,170.948,177.709
    Nondurable goods,278.8,284.6,298.8,330.3,379.5,463.3,490.8,549.3,615.4,670.1,769.1,870,950.9,943.5,971.4,1030,1029.5,994.5,1113.2,1205.2,1292.6,1350.4,1352.8,1390.4,1422.2,1486.6,1595.4,1636.7,1708.1,1683.67,1723.602,1855.203,1806.033,1806.223,1874.991,2046.813,2308.41,2453.776,2633.855,2806.685,2358.972,2636.614,2993.737,3071.618,3149.773,3119.375,2803.626,2704.546,2849.553,3048.688
      Food and beverage and tobacco products,100.7,106,110.9,122.6,142.6,168.5,178.1,186.1,196.5,219.8,239.9,261.7,279.5,290,298,313.5,317.1,324.1,348.1,375.2,404.8,420.3,431.5,445.2,455.3,468.3,491,508.8,531.8,540.244,538.151,557.108,576.417,568.698,599.757,630.003,661.053,667.596,720.553,778.633,772.6,800.318,855.972,895.924,920.006,948.779,946.18,936.715,961.672,973.58
      Textile mills and textile product mills,25.1,24.5,26.1,30.3,34,36.2,34.5,40.9,46.2,47.4,50,51.3,54.1,50.4,56.7,59,56.4,58.5,67.7,70.8,73.5,71.7,71.8,76.8,80.3,84.9,86.2,85.9,89.1,87.658,86.559,85.053,76.629,75.382,72.324,73.719,77.042,71.693,64.403,56.521,46.292,49.828,52.869,51.705,54.014,55.829,53.566,52.312,54.011,56.877
      Apparel and leather and allied products,30.2,29.5,30.9,32.3,34.3,34.9,35.7,39.1,43.7,46.5,47.4,51.3,55.3,57.7,59.9,61,59.8,59.7,66.5,68.8,67.6,68.5,69.9,74.6,77.9,81.5,82.9,83.6,87.2,79.047,75.979,75.331,58.781,50.881,44.923,39.203,40.315,39.205,29.854,26.701,24.411,23.275,24.835,19.162,19.527,19.052,18.659,18.341,19.039,19.951
      Paper products,24.7,25.1,25.6,28.4,32.6,40.3,41.5,47.4,52.1,57,63.9,70.3,76.8,78.5,82.8,91.6,91.4,95.9,104.1,117.6,126.2,126.5,124.5,126.2,126.2,136,166,152.7,149.2,153.176,155.602,163.676,154.97,152.466,148.736,152.972,160.067,167.543,174.225,177.371,160.533,169.406,175.584,178.973,183.815,184.615,182.911,178.908,181.569,189.796
      Printing and related support activities,11.8,12.3,12.6,14.3,15.8,17.6,18.6,21,24.4,27.5,30.8,34.1,38,42.6,45.7,51.5,54.8,57.8,66.4,70.8,74.4,78.4,76.8,81.4,83.2,85.6,92.6,95.9,98.4,101.045,103.844,107.192,104.098,99.721,95.442,96.289,98.962,100.747,103.514,99.166,84.045,83.798,84.243,83.095,83.33,82.404,82.17,84.395,81.713,83.125
      Petroleum and coal products,23.9,24,25.4,26.5,32.7,55.7,66.5,79.9,95.9,102.3,145.6,194.4,219.4,205.1,187,182,170.7,119.5,130.1,130,144.2,170.6,157.6,148.4,143.4,142.2,150,171.5,175.7,136.588,160.487,233.011,218.057,214.238,245.974,324.962,462.089,536.877,606.412,733.568,482.37,607.722,816.949,833.489,833.756,767.097,501.055,423.776,522.85,652.027
      Chemical products,46.8,47.5,49.7,55.2,63.1,81.6,87.9,102.1,116.1,125.3,143.3,157.8,173.1,162.6,179.3,199.7,205.2,202.4,241.7,274.4,298,306.6,313.1,323.2,332.5,352.8,380.6,387.7,417.6,422.348,430.468,454.758,446.721,471.427,491.64,546.691,610.755,660.305,728.67,735.781,620.943,715.655,782.275,792.803,830.838,830.37,785.525,777.49,798.793,838.213
      Plastics and rubber products,15.8,15.8,17.5,20.8,24.4,28.4,28,32.8,40.6,44.3,48.3,49.1,54.8,56.6,62,71.7,74.1,76.7,88.6,97.7,103.9,107.9,107.6,114.6,123.2,135.3,146,150.4,159,163.564,172.513,179.075,170.36,173.411,176.195,182.974,198.128,209.81,206.223,198.943,167.778,186.612,201.011,216.467,224.486,231.228,233.56,232.608,229.907,235.12
  Wholesale trade,78.5,83.7,90.5,100.3,110.6,128.7,136.1,164.3,189.9,207.4,236.1,288.2,308.2,288,288.8,334.2,363.8,378.9,412,455.1,479.4,509.9,516.2,537.8,580.3,635.5,690.8,711.9,747.2,772.731,826.239,880.498,860.337,891.879,929.221,1019.313,1107.735,1196.837,1270.853,1327.125,1154.752,1359.199,1530.787,1654.978,1734.795,1819.133,1845.162,1831.162,1929.653,2040.845
  Retail trade,112,118.3,126.6,138.2,148.8,168.2,166.7,203.6,228.7,245.7,262,326.1,340.4,338.4,361.6,388.8,440,458.1,514.3,536.2,566.6,589.1,596.8,629.9,679.4,741.1,786.2,824.4,857.3,892.213,953.695,1000.039,992.262,1045.303,1108.007,1190.551,1239.713,1302.079,1333.963,1277.235,1207.715,1299.657,1335.93,1403.508,1480.021,1550.954,1651.483,1714.043,1782.155,1862.816
    Motor vehicle and parts dealers,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
    Food and beverage stores,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
    General merchandise stores,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
    Other retail,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
  Transportation and warehousing,70.2,74.9,80.4,87.5,96.7,109.2,113.7,126.5,145.8,169.4,184.1,208.5,216.4,218.3,231.6,255.2,257.9,265.1,285.7,315.2,331.8,353.2,357.9,376.2,398.7,426.9,449,471.6,499.4,,,,,,,,,,,,,,,,,,,,,
    Air transportation,10.2,10.8,11.8,13.1,15,17.8,18.1,20.8,23.6,26.7,25.3,37.4,33.2,40.1,43.9,50.3,53.8,58,67.4,75.4,77.8,80.6,81.2,83,90.5,95.5,101.9,106.1,114.3,,,,,,,,,,,,,,,,,,,,,
    Rail transportation,13.8,14.3,15.1,15.9,17.7,20.2,19.9,20.9,24,25.8,29.1,32.8,36.5,32.9,32,35.2,33,31.2,31.9,33.7,34.2,34.8,34.3,35.2,35.4,37.1,38.2,38.2,38.2,,,,,,,,,,,,,,,,,,,,,
    Water transportation,4.3,4.7,4.5,4.9,5.8,7.2,7.9,9.8,11.2,12.4,14.7,15.9,17.7,15.6,15.9,16.3,16.3,16.3,15.7,17.4,17.6,18.5,19,19.1,20.2,20.7,22.5,24.2,24.8,,,,,,,,,,,,,,,,,,,,,
    Truck transportation,20.2,21.7,23.6,26,28.1,30.1,31.6,34.7,39.7,46.6,51,51,54.1,52.6,59.2,66.4,68.6,71.2,80.4,90.6,98.5,108.8,109.1,118,124.6,137.9,143.6,151.7,162,,,,,,,,,,,,,,,,,,,,,
    Transit and ground passenger transportation,5.5,6.1,6.7,7.1,7.2,7.9,8.4,9.2,9.9,10.2,10.9,11.5,12.3,13,13.5,14.5,15.2,15.5,15.5,16.4,17.3,18.6,19.4,19.8,20.3,20.8,21.9,23,24.3,,,,,,,,,,,,,,,,,,,,,
    Pipeline transportation,2.6,2.9,3.2,3.5,3.9,4.4,5.2,6.1,8.1,14.2,16.6,18.1,18.8,20,20.7,21.5,20.3,19.8,18.9,19,19.3,19.4,19.1,20.3,21.8,22.5,22,23.9,24.3,,,,,,,,,,,,,,,,,,,,,
    Other transportation and support activities,10.8,11.5,12.4,13.5,15.2,17.5,18.2,20.3,23.7,27.1,29.1,34,35,35.9,37.3,40.6,40.2,41.5,43.7,49.2,52.8,57.1,60,63.7,67.4,72.1,76.4,80.9,85.2,,,,,,,,,,,,,,,,,,,,,
    Warehousing and storage,2.8,3,3.2,3.4,3.8,4.3,4.4,4.8,5.7,6.5,7.4,7.8,8.6,8.3,9.1,10.4,10.6,11.7,12.1,13.6,14.4,15.4,15.7,17.2,18.5,20.3,22.5,23.6,26.3,,,,,,,,,,,,,,,,,,,,,
  Information,58.1,62.4,66.8,74.4,83.3,91.5,102.5,115.3,127.8,145.1,163,178,204.9,233.5,260.8,284.6,305.6,333.1,350.7,375,397.7,422.6,440.6,463.9,504.1,544.4,598.6,662.4,730.6,,,,,,,,,,,,,,,,,,,,,
"    Publishing industries, except internet (includes software)",15.9,17.1,17.5,19,20.9,23,24.9,27.2,30.4,35.4,40.6,44.7,48.8,53.5,61,67.4,70.1,78.6,89,97.3,103.5,109.3,113,117.2,129.5,139.9,153.5,171,190.8,,,,,,,,,,,,,,,,,,,,,
    Motion picture and sound recording industries,7,7.1,7.7,8.6,9.3,10.1,11.3,13.4,15,16.2,18.5,18.9,22.6,25,27.7,30.9,33,36.6,38.4,41.6,46.6,49.9,53.7,55.8,62.5,68.5,76.5,85.8,89.5,,,,,,,,,,,,,,,,,,,,,
    Broadcasting and telecommunications,32.7,35.3,38.3,42.9,48.5,53.4,60.7,68.1,74.6,84.1,92.5,101.5,118.4,137.8,153.2,166.4,182,196.3,203.4,213.8,222.4,235.5,244.5,259.4,278.1,298.2,326.7,361,404.1,,,,,,,,,,,,,,,,,,,,,
"    Data processing, internet publishing, and other information services",2.5,2.9,3.3,3.9,4.5,5,5.6,6.5,7.9,9.4,11.3,13,15.1,17.1,18.9,19.9,20.6,21.5,19.9,22.2,25.1,27.8,29.4,31.6,34,37.9,41.9,44.6,46.2,,,,,,,,,,,,,,,,,,,,,
"  Finance, insurance, real estate, rental, and leasing",197.9,215.1,235.9,260.3,282.9,309.1,347,377.7,426,490.8,543.4,600.7,664.3,742.4,863.6,951,1074.3,1162.5,1256.6,1366.6,1463.9,1561.4,1628.4,1718.2,1842.7,1954.6,2076.7,2249.2,2411.9,,,,,,,,,,,,,,,,,,,,,
    Finance and insurance,74.1,81.1,87.6,97.5,104.5,114.9,134.3,143.2,163.1,192.6,206.7,223,239.2,280.7,356.5,391.1,454.2,486.5,527.6,552.1,588.7,609.4,646.1,678.6,744,775.8,838.6,918.9,1005.9,,,,,,,,,,,,,,,,,,,,,
"      Federal Reserve banks, credit intermediation, and related activities",35,40.3,42.6,46.4,50.5,58.1,70.3,68.9,73.3,88.9,95.4,99.9,103.5,122.3,163.9,168.6,191.4,215,225.8,237,240.7,248.6,262.3,275.5,293.3,306.6,326.6,359,393.8,,,,,,,,,,,,,,,,,,,,,
"      Securities, commodity contracts, and investments",6,4.8,6.6,7.9,6.1,5.2,7.2,8.2,10.3,12.2,15.3,18.8,22.1,29.2,42.9,39.8,48.5,62.6,71,64.1,74.1,69.6,83,89.1,110.5,107.7,136.3,173.3,206,,,,,,,,,,,,,,,,,,,,,
      Insurance carriers and related activities,29.8,32.3,34.2,38.7,42.7,45.7,50.1,58.3,70.4,81.9,85.8,91.9,99.7,113.6,132.3,162.3,190.6,182.9,195.4,218.9,239.3,257.2,268.8,281.3,301.8,323.2,332,337.1,350,,,,,,,,,,,,,,,,,,,,,
"      Funds, trusts, and other financial vehicles",3.3,3.7,4.1,4.5,5.2,5.9,6.7,7.7,9,9.5,10.3,12.3,13.9,15.6,17.5,20.4,23.7,26.1,35.4,32.1,34.6,34,32,32.8,38.4,38.3,43.8,49.5,56.1,,,,,,,,,,,,,,,,,,,,,
    Real estate and rental and leasing,123.8,134.1,148.3,162.8,178.5,194.2,212.7,234.5,262.9,298.2,336.7,377.7,425,461.7,507,559.9,620.2,675.9,728.9,814.5,875.2,952,982.4,1039.6,1098.7,1178.8,1238.1,1330.3,1406,,,,,,,,,,,,,,,,,,,,,
      Real estate,114.2,123.3,135.7,148.3,162.7,177.6,195,215.4,242.1,274.2,308,344.1,386.1,418.7,459.1,505.6,560.3,612,662.3,734.9,788.7,857.5,889.8,942,992.6,1062.6,1113.2,1190.7,1256.1,,,,,,,,,,,,,,,,,,,,,
        Housing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
        Other real estate,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
      Rental and leasing services and lessors of intangible assets,9.6,10.8,12.6,14.5,15.8,16.6,17.7,19.1,20.8,24,28.8,33.6,38.9,43,47.9,54.3,59.9,64,66.6,79.6,86.5,94.5,92.5,97.6,106.1,116.3,124.9,139.6,149.9,,,,,,,,,,,,,,,,,,,,,
  Professional and business services,77.6,84,89.9,99.3,112.2,123.2,134.1,150.4,170.5,197.4,226.4,257.1,297.2,322.3,362.8,418.7,471.7,518.7,568.1,644.8,718.7,784.1,803.6,854.8,915.9,984.7,1080,1191,1345.9,,,,,,,,,,,,,,,,,,,,,
"    Professional, scientific, and technical services",41.8,46.2,49.5,54.7,62.2,68.1,73.8,81.4,91.3,106.5,123.4,142.6,167.6,185.3,207.9,238.8,271.5,299.9,332.7,379.6,426.2,464,475.4,503,540,572.7,627.7,695.9,799.8,,,,,,,,,,,,,,,,,,,,,
      Legal services,11.1,13.1,14.4,15.9,18.3,20.2,21,23.1,25.5,29.3,30.9,34.7,40.9,45.3,49.8,56.5,64.7,71.9,81.4,92.7,101.5,111.5,114.5,124.5,129.1,132.6,134.6,145.3,155.6,,,,,,,,,,,,,,,,,,,,,
      Computer systems design and related services,3.6,4.2,3.9,3.9,4.5,5.5,6.8,7.4,7.8,9,11.5,13.8,16.5,19.4,20.9,23.8,25.3,27.3,26.6,31.3,37.2,40.1,42.6,40.5,55.7,63,74.6,84.4,123.9,,,,,,,,,,,,,,,,,,,,,
"      Miscellaneous professional, scientific, and technical services",27.2,29,31.2,34.9,39.3,42.3,46,50.8,58,68.2,81,94.2,110.3,120.6,137.2,158.5,181.4,200.7,224.7,255.6,287.5,312.3,318.3,337.9,355.1,377.1,418.5,466.2,520.3,,,,,,,,,,,,,,,,,,,,,
    Management of companies and enterprises,20.7,21.3,22.9,24.9,27.6,30,33,37.4,42.1,47.7,52.3,57.4,64.3,67.1,75.4,85.9,94,101.6,104.5,110.9,118.2,125.5,130.6,138.3,147.7,158.3,168.4,179.8,195.2,,,,,,,,,,,,,,,,,,,,,
    Administrative and waste management services,15.1,16.5,17.5,19.7,22.5,25.2,27.3,31.7,37.1,43.2,50.8,57.1,65.4,69.9,79.6,94,106.2,117.2,130.8,154.4,174.3,194.6,197.6,213.5,228.3,253.7,283.9,315.4,350.9,,,,,,,,,,,,,,,,,,,,,
      Administrative and support services,11.2,12.1,12.9,14.5,16.8,19.1,20.7,24,28.7,33.9,40.7,46.4,54.2,58.1,66.6,79.3,88.7,98.6,110.8,130.8,148.4,166.1,169.3,182.5,194.9,217.4,245.6,275.1,308.9,,,,,,,,,,,,,,,,,,,,,
      Waste management and remediation services,3.9,4.4,4.6,5.2,5.7,6.1,6.6,7.7,8.4,9.4,10,10.8,11.2,11.8,12.9,14.7,17.5,18.6,20,23.5,25.9,28.4,28.3,31,33.4,36.3,38.3,40.3,42,,,,,,,,,,,,,,,,,,,,,
"  Educational services, health care, and social assistance",54.8,61.6,68.6,76,84.8,94.8,109.5,124.8,140.7,158.9,179.2,205.5,239.4,265.6,299.3,328.6,360.7,394.9,438.9,495.3,545.4,606.9,659.4,720.6,760.3,795.5,841.8,884.2,929.4,,,,,,,,,,,,,,,,,,,,,
    Educational services,11.5,12.8,13.9,14.9,16.4,17.7,19.5,21.4,23,25.4,27.9,31.3,35,38.8,42.4,45.9,49.5,53.2,56.7,63,68.9,74.6,79.3,84.5,89.2,94.3,100.7,108.5,113.1,,,,,,,,,,,,,,,,,,,,,
    Health care and social assistance,43.3,48.7,54.8,61.2,68.4,77.1,90,103.4,117.8,133.5,151.3,174.2,204.3,226.7,256.8,282.7,311.2,341.7,382.3,432.3,476.4,532.4,580.1,636.1,671.1,701.2,741,775.7,816.3,,,,,,,,,,,,,,,,,,,,,
      Ambulatory health care services,20.2,22.5,24.2,26.3,29.9,33.1,38.4,43.2,49.3,54.4,61.1,70.1,83,89.9,103.4,117.1,132.1,147.4,170.6,195.1,214,240.3,262.5,292.5,309.6,328.4,352.2,368.9,388.2,,,,,,,,,,,,,,,,,,,,,
      Hospitals and nursing and residential care facilities,20.7,23.5,27.3,30.8,34.1,39.1,46,53.6,60.8,70,79.6,91.7,107.3,121.7,136.7,147,157.9,170.7,185,205.1,227.5,253.4,278.1,301.5,316,324.3,337.1,352.7,366.5,,,,,,,,,,,,,,,,,,,,,
      Hospitals,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
      Nursing and residential care facilities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
      Social assistance,2.5,2.8,3.3,4,4.4,4.8,5.6,6.6,7.6,9,10.6,12.4,14,15.1,16.7,18.6,21.2,23.6,26.6,32.1,34.9,38.6,39.5,42.2,45.5,48.5,51.6,54,61.6,,,,,,,,,,,,,,,,,,,,,
